AccVers;Title;Identity;Length;Mismatches;Gap Opens;Query Start;Query End;Subject Start;Subject End;E-value;Bitscore;Blast Query
XP_004327769.1;tripartite motif-containing protein 6 isoform X1 [Tursiops truncatus];84.221;488;76;1;29;516;1;487;0.0;"865
";TRIM6
XP_032976648.1;tripartite motif-containing protein 6 isoform X2 [Rhinolophus ferrumequinum];83.096;491;82;1;26;516;1;490;0.0;"865
";TRIM6
XP_025122304.2;tripartite motif-containing protein 6 isoform X1 [Bubalus bubalis];83.607;488;79;1;29;516;1;487;0.0;"865
";TRIM6
XP_026971356.1;tripartite motif-containing protein 6 isoform X1 [Lagenorhynchus obliquidens];84.426;488;75;1;29;516;1;487;0.0;"865
";TRIM6
XP_045638887.1;tripartite motif-containing protein 6 [Ursus americanus];84.016;488;77;1;29;516;1;487;0.0;"864
";TRIM6
XP_040114513.1;tripartite motif-containing protein 6 [Oryx dammah];83.811;488;78;1;29;516;1;487;0.0;"863
";TRIM6
XP_027436191.1;tripartite motif-containing protein 6 isoform X1 [Zalophus californianus];84.016;488;77;1;29;516;1;487;0.0;"863
";TRIM6
XP_032282950.1;tripartite motif-containing protein 6 isoform X2 [Phoca vitulina];84.016;488;77;1;29;516;1;487;0.0;"863
";TRIM6
XP_036856874.1;tripartite motif-containing protein 6 isoform X1 [Manis javanica];81.765;510;92;1;7;516;38;546;0.0;"863
";TRIM6
XP_027263713.1;tripartite motif-containing protein 6 isoform X2 [Cricetulus griseus];80.040;506;101;0;10;515;17;522;0.0;"863
";TRIM6
XP_034851143.1;tripartite motif-containing protein 6 isoform X1 [Mirounga leonina];83.401;494;75;2;29;516;1;493;0.0;"863
";TRIM6
XP_021079370.2;tripartite motif-containing protein 6 [Mesocricetus auratus];83.368;487;81;0;29;515;1;487;0.0;"862
";TRIM6
XP_036856876.1;tripartite motif-containing protein 6 isoform X2 [Manis javanica];81.765;510;92;1;7;516;6;514;0.0;"862
";TRIM6
XP_005906939.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Bos mutus];83.607;488;79;1;29;516;1;487;0.0;"862
";TRIM6
XP_007103050.1;tripartite motif-containing protein 6 isoform X1 [Physeter catodon];84.016;488;75;2;29;516;1;485;0.0;"862
";TRIM6
XP_026345386.1;tripartite motif-containing protein 6 [Ursus arctos horribilis];83.607;488;79;1;29;516;1;487;0.0;"861
";TRIM6
XP_030883358.1;tripartite motif-containing protein 6 isoform X2 [Leptonychotes weddellii];84.016;488;76;2;29;516;1;486;0.0;"861
";TRIM6
XP_025750152.1;tripartite motif-containing protein 6 isoform X2 [Callorhinus ursinus];84.016;488;76;2;29;516;1;486;0.0;"860
";TRIM6
XP_007459861.1;PREDICTED: tripartite motif-containing protein 6-like isoform X2 [Lipotes vexillifer];84.426;488;73;2;29;516;1;485;0.0;"860
";TRIM6
XP_014635196.1;PREDICTED: tripartite motif-containing protein 6 [Ceratotherium simum simum];83.607;488;79;1;29;516;1;487;0.0;"860
";TRIM6
XP_043761647.1;tripartite motif-containing protein 6 isoform X1 [Cervus elaphus];83.197;488;81;1;29;516;1;487;0.0;"860
";TRIM6
XP_036717522.1;tripartite motif-containing protein 6 isoform X1 [Balaenoptera musculus];84.016;488;75;2;29;516;1;485;0.0;"860
";TRIM6
XP_035931888.1;tripartite motif-containing protein 6 isoform X2 [Halichoerus grypus];84.016;488;76;2;29;516;1;486;0.0;"860
";TRIM6
XP_027418899.1;tripartite motif-containing protein 6 isoform X1 [Bos indicus x Bos taurus];83.402;488;80;1;29;516;1;487;0.0;"860
";TRIM6
XP_027971764.1;tripartite motif-containing protein 6 isoform X2 [Eumetopias jubatus];84.016;488;76;2;29;516;1;486;0.0;"859
";TRIM6
XP_043337928.1;tripartite motif-containing protein 6 isoform X1 [Cervus canadensis];82.992;488;82;1;29;516;1;487;0.0;"859
";TRIM6
NP_001192119.1;tripartite motif-containing protein 6 [Canis lupus familiaris];82.992;488;82;1;29;516;1;487;0.0;"859
";TRIM6
XP_029418144.1;tripartite motif-containing protein 6 isoform X2 [Nannospalax galili];83.811;488;77;2;29;516;1;486;0.0;"858
";TRIM6
XP_027436193.1;tripartite motif-containing protein 6 isoform X2 [Zalophus californianus];83.811;488;77;2;29;516;1;486;0.0;"858
";TRIM6
XP_019830868.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Bos indicus];83.197;488;81;1;29;516;1;487;0.0;"858
";TRIM6
XP_025844204.1;tripartite motif-containing protein 6 isoform X1 [Vulpes vulpes];82.992;488;82;1;29;516;1;487;0.0;"857
";TRIM6
XP_021540966.1;tripartite motif-containing protein 6 isoform X1 [Neomonachus schauinslandi];83.811;488;76;2;29;516;1;485;0.0;"857
";TRIM6
XP_012642053.1;tripartite motif-containing protein 6 [Microcebus murinus];83.299;485;81;0;31;515;2;486;0.0;"857
";TRIM6
NP_001192118.1;tripartite motif-containing protein 6 [Bos taurus];83.197;488;81;1;29;516;1;487;0.0;"857
";TRIM6
XP_041586428.1;tripartite motif-containing protein 6 isoform X1 [Vulpes lagopus];82.787;488;83;1;29;516;1;487;0.0;"855
";TRIM6
XP_011231727.1;tripartite motif-containing protein 6 isoform X1 [Ailuropoda melanoleuca];83.402;488;80;1;29;516;1;487;0.0;"855
";TRIM6
XP_010858822.1;PREDICTED: uncharacterized protein LOC105003384 [Bison bison bison];83.162;487;81;1;29;515;1;486;0.0;"855
";TRIM6
XP_010858822.1;PREDICTED: uncharacterized protein LOC105003384 [Bison bison bison];57.199;507;201;4;18;516;639;1137;2.23e-167;"509
";TRIM6
XP_040487244.1;uncharacterized protein LOC103680049 [Ursus maritimus];83.368;487;80;1;29;515;1;486;0.0;"854
";TRIM6
XP_040487244.1;uncharacterized protein LOC103680049 [Ursus maritimus];56.805;507;204;5;16;516;777;1274;5.16e-166;"509
";TRIM6
XP_019523991.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Hipposideros armiger];83.707;491;79;1;26;516;1;490;0.0;"854
";TRIM6
XP_026908443.1;tripartite motif-containing protein 6 [Acinonyx jubatus];83.197;488;81;1;29;516;1;487;0.0;"854
";TRIM6
XP_043436418.1;tripartite motif-containing protein 6 [Prionailurus bengalensis];83.197;488;81;1;29;516;1;487;0.0;"853
";TRIM6
XP_025315028.1;tripartite motif-containing protein 6 isoform X2 [Canis lupus dingo];82.787;488;82;2;29;516;1;486;0.0;"853
";TRIM6
XP_036782943.1;tripartite motif-containing protein 6 isoform X3 [Manis pentadactyla];82.992;488;82;1;29;516;2;488;0.0;"853
";TRIM6
XP_025784464.1;tripartite motif-containing protein 6 isoform X2 [Puma concolor];82.992;488;82;1;29;516;1;487;0.0;"853
";TRIM6
XP_045340229.1;tripartite motif-containing protein 6 isoform X1 [Leopardus geoffroyi];82.992;488;82;1;29;516;1;487;0.0;"852
";TRIM6
XP_005906940.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Bos mutus];83.197;488;79;2;29;516;1;485;0.0;"852
";TRIM6
XP_028717402.1;tripartite motif-containing protein 6 isoform X1 [Peromyscus leucopus];82.618;489;84;1;29;516;1;489;0.0;"852
";TRIM6
XP_025844205.1;tripartite motif-containing protein 6 isoform X2 [Vulpes vulpes];82.787;488;82;2;29;516;1;486;0.0;"851
";TRIM6
XP_007172928.1;tripartite motif-containing protein 6 isoform X1 [Balaenoptera acutorostrata scammoni];83.197;488;78;2;29;516;1;484;0.0;"851
";TRIM6
XP_006979085.1;tripartite motif-containing protein 6 [Peromyscus maniculatus bairdii];82.618;489;84;1;29;516;1;489;0.0;"851
";TRIM6
XP_019293584.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Panthera pardus];82.787;488;83;1;29;516;1;487;0.0;"851
";TRIM6
XP_015982322.1;tripartite motif-containing protein 6 isoform X1 [Rousettus aegyptiacus];82.892;491;83;1;26;516;1;490;0.0;"850
";TRIM6
XP_010599241.1;tripartite motif-containing protein 6 isoform X1 [Loxodonta africana];78.854;506;107;0;11;516;23;528;0.0;"850
";TRIM6
XP_007092269.1;PREDICTED: tripartite motif-containing protein 6 [Panthera tigris altaica];82.582;488;84;1;29;516;1;487;0.0;"850
";TRIM6
XP_003992918.2;tripartite motif-containing protein 6 isoform X1 [Felis catus];82.582;488;84;1;29;516;1;487;0.0;"849
";TRIM6
XP_041586431.1;tripartite motif-containing protein 6 isoform X2 [Vulpes lagopus];82.582;488;83;2;29;516;1;486;0.0;"849
";TRIM6
XP_032750966.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 6 [Rattus rattus];81.762;488;89;0;29;516;1;488;0.0;"849
";TRIM6
XP_032750966.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 6 [Rattus rattus];49.004;502;242;6;15;511;491;983;3.64e-152;"466
";TRIM6
XP_028637903.1;tripartite motif-containing protein 6 [Grammomys surdaster];81.762;488;89;0;29;516;1;488;0.0;"849
";TRIM6
XP_034522354.1;tripartite motif-containing protein 6 isoform X2 [Ailuropoda melanoleuca];83.197;488;80;2;29;516;1;486;0.0;"849
";TRIM6
NP_001163932.1;tripartite motif-containing protein 6 [Rattus norvegicus];81.148;488;92;0;29;516;1;488;0.0;"848
";TRIM6
XP_020020711.1;tripartite motif-containing protein 6 [Castor canadensis];84.016;488;78;0;29;516;1;488;0.0;"847
";TRIM6
XP_045340232.1;tripartite motif-containing protein 6 isoform X3 [Leopardus geoffroyi];82.787;488;82;2;29;516;1;486;0.0;"847
";TRIM6
XP_040317321.1;tripartite motif-containing protein 6 isoform X2 [Puma yagouaroundi];82.787;488;82;2;29;516;1;486;0.0;"847
";TRIM6
XP_045340231.1;tripartite motif-containing protein 6 isoform X2 [Leopardus geoffroyi];82.787;488;82;2;29;516;1;486;0.0;"846
";TRIM6
XP_022377841.1;tripartite motif-containing protein 6 [Enhydra lutris kenyoni];82.136;487;86;1;29;515;1;486;0.0;"846
";TRIM6
XP_019293586.1;PREDICTED: tripartite motif-containing protein 6 isoform X3 [Panthera pardus];82.582;488;83;2;29;516;1;486;0.0;"845
";TRIM6
XP_019293585.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Panthera pardus];82.582;488;83;2;29;516;1;486;0.0;"844
";TRIM6
XP_044894766.1;tripartite motif-containing protein 6 isoform X2 [Felis catus];82.377;488;84;2;29;516;1;486;0.0;"843
";TRIM6
XP_020918019.1;tripartite motif-containing protein 6 [Sus scrofa];81.352;488;90;1;29;516;1;487;0.0;"843
";TRIM6
XP_019571421.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Rhinolophus sinicus];82.688;491;84;1;26;516;1;490;0.0;"843
";TRIM6
XP_025784463.1;tripartite motif-containing protein 6 isoform X1 [Puma concolor];82.582;488;82;2;29;516;1;485;0.0;"843
";TRIM6
XP_039079697.1;tripartite motif-containing protein 6 isoform X1 [Hyaena hyaena];82.582;488;84;1;29;516;1;487;0.0;"843
";TRIM6
XP_016070517.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Miniopterus natalensis];82.688;491;84;1;26;516;1;490;0.0;"842
";TRIM6
XP_034362082.1;tripartite motif-containing protein 6 [Arvicanthis niloticus];80.943;488;93;0;29;516;1;488;0.0;"842
";TRIM6
XP_031243567.1;tripartite motif-containing protein 6 [Mastomys coucha];80.328;488;96;0;29;516;1;488;0.0;"842
";TRIM6
XP_032709171.1;tripartite motif-containing protein 6 isoform X1 [Lontra canadensis];81.520;487;89;1;29;515;1;486;0.0;"842
";TRIM6
XP_006915740.1;tripartite motif-containing protein 6 isoform X1 [Pteropus alecto];82.688;491;84;1;26;516;1;490;0.0;"842
";TRIM6
XP_011381433.1;tripartite motif-containing protein 6 isoform X1 [Pteropus vampyrus];82.688;491;84;1;26;516;1;490;0.0;"842
";TRIM6
XP_036115454.1;tripartite motif-containing protein 6-like [Molossus molossus];79.371;509;104;1;7;515;7;514;0.0;"842
";TRIM6
XP_026633365.1;tripartite motif-containing protein 6 [Microtus ochrogaster];80.738;488;94;0;29;516;1;488;0.0;"842
";TRIM6
XP_038181425.1;tripartite motif-containing protein 6 isoform X1 [Arvicola amphibius];80.943;488;93;0;29;516;1;488;0.0;"842
";TRIM6
XP_045039545.1;tripartite motif-containing protein 6 [Desmodus rotundus];82.281;491;86;1;26;516;1;490;0.0;"841
";TRIM6
XP_044114629.1;tripartite motif-containing protein 6 isoform X1 [Neogale vison];81.520;487;89;1;29;515;1;486;0.0;"840
";TRIM6
XP_019523992.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Hipposideros armiger];82.892;491;79;2;26;516;1;486;0.0;"840
";TRIM6
XP_045873406.1;tripartite motif-containing protein 6 [Meles meles];81.930;487;87;1;29;515;1;486;0.0;"840
";TRIM6
XP_020750424.1;tripartite motif-containing protein 6 isoform X2 [Odocoileus virginianus texanus];81.466;491;81;2;26;516;1;481;0.0;"839
";TRIM6
XP_012385632.1;tripartite motif-containing protein 6 isoform X1 [Dasypus novemcinctus];80.533;488;95;0;29;516;1;488;0.0;"839
";TRIM6
XP_006094617.1;tripartite motif-containing protein 6 [Myotis lucifugus];82.077;491;87;1;26;516;1;490;0.0;"838
";TRIM6
XP_027263714.1;tripartite motif-containing protein 6 isoform X3 [Cricetulus griseus];80.903;487;93;0;29;515;1;487;0.0;"838
";TRIM6
XP_015415573.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Myotis davidii];81.670;491;89;1;26;516;1;490;0.0;"837
";TRIM6
XP_029396746.1;tripartite motif-containing protein 6 [Mus pahari];79.713;488;99;0;29;516;1;488;0.0;"837
";TRIM6
XP_037002195.1;tripartite motif-containing protein 6 [Artibeus jamaicensis];81.874;491;88;1;26;516;1;490;0.0;"837
";TRIM6
XP_039079702.1;tripartite motif-containing protein 6 isoform X2 [Hyaena hyaena];82.377;488;84;2;29;516;1;486;0.0;"837
";TRIM6
NP_001013637.1;tripartite motif-containing protein 6 [Mus musculus];80.123;488;97;0;29;516;1;488;0.0;"836
";TRIM6
XP_032709176.1;tripartite motif-containing protein 6 isoform X3 [Lontra canadensis];81.314;487;89;2;29;515;1;485;0.0;"836
";TRIM6
XP_025122307.1;tripartite motif-containing protein 6 isoform X2 [Bubalus bubalis];81.557;488;80;2;29;516;1;478;0.0;"836
";TRIM6
XP_036181101.1;tripartite motif-containing protein 6 [Myotis myotis];81.874;491;88;1;26;516;1;490;0.0;"836
";TRIM6
XP_029812234.1;tripartite motif-containing protein 6 isoform X1 [Suricata suricatta];81.967;488;87;1;29;516;1;487;0.0;"835
";TRIM6
XP_032709175.1;tripartite motif-containing protein 6 isoform X2 [Lontra canadensis];81.314;487;89;2;29;515;1;485;0.0;"835
";TRIM6
XP_036284004.1;tripartite motif-containing protein 6 [Pipistrellus kuhlii];82.077;491;87;1;26;516;1;490;0.0;"835
";TRIM6
XP_044114632.1;tripartite motif-containing protein 6 isoform X2 [Neogale vison];81.314;487;89;2;29;515;1;485;0.0;"835
";TRIM6
XP_036856877.1;tripartite motif-containing protein 6 isoform X3 [Manis javanica];82.787;488;83;1;29;516;2;488;0.0;"835
";TRIM6
XP_004779057.1;tripartite motif-containing protein 6 isoform X1 [Mustela putorius furo];81.520;487;88;2;29;515;1;485;0.0;"835
";TRIM6
XP_032976647.1;tripartite motif-containing protein 6 isoform X1 [Rhinolophus ferrumequinum];81.557;488;83;3;29;516;1;481;0.0;"833
";TRIM6
XP_043761676.1;tripartite motif-containing protein 6 isoform X2 [Cervus elaphus];81.352;488;81;2;29;516;1;478;0.0;"833
";TRIM6
XP_032282949.1;tripartite motif-containing protein 6 isoform X1 [Phoca vitulina];82.004;489;80;3;29;516;1;482;0.0;"833
";TRIM6
XP_005860882.1;PREDICTED: tripartite motif-containing protein 6 [Myotis brandtii];81.670;491;89;1;26;516;1;490;0.0;"833
";TRIM6
XP_039703824.1;tripartite motif-containing protein 6 isoform X2 [Pteropus giganteus];82.281;491;84;2;26;516;1;488;0.0;"833
";TRIM6
XP_008158663.1;tripartite motif-containing protein 6 [Eptesicus fuscus];81.874;491;88;1;26;516;1;490;0.0;"832
";TRIM6
XP_027418901.1;tripartite motif-containing protein 6 isoform X2 [Bos indicus x Bos taurus];81.557;488;80;2;29;516;1;478;0.0;"832
";TRIM6
XP_043337931.1;tripartite motif-containing protein 6 isoform X2 [Cervus canadensis];81.148;488;82;2;29;516;1;478;0.0;"832
";TRIM6
XP_005216193.3;tripartite motif-containing protein 6 isoform X1 [Bos taurus];81.352;488;81;2;29;516;1;478;0.0;"831
";TRIM6
XP_006915741.1;tripartite motif-containing protein 6 isoform X2 [Pteropus alecto];82.582;488;82;2;29;516;1;485;0.0;"830
";TRIM6
XP_019830869.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Bos indicus];81.352;488;81;2;29;516;1;478;0.0;"830
";TRIM6
XP_011381434.2;tripartite motif-containing protein 6 isoform X2 [Pteropus vampyrus];82.582;488;82;2;29;516;1;485;0.0;"829
";TRIM6
