AccVers;Species;ProtAnnotation;GeneAnnotation;GeneId;Location;ProtDef;GeneDef;TreeStatus;TreeAnnotation;RNAId;aBSRELStatus
XP_034378276.1;Arvicanthis niloticus;TRIM30;TRIM30;117723022;NC_047658.1;tripartite motif-containing protein 30A-like isoform X1 [Arvicanthis niloticus];LOC117723022 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_034522385.1;INCLUDED
XP_034342250.1;Arvicanthis niloticus;TRIM30;TRIM30;117695466;NC_047658.1;tripartite motif-containing protein 30A-like [Arvicanthis niloticus];LOC117695466 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_034486359.1;INCLUDED
XP_034368493.1;Arvicanthis niloticus;TRIM30;TRIM30;117715734;NC_047658.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 30A-like [Arvicanthis niloticus];LOC117715734 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_034512602.1;REMOVED|Premature stop codon
XP_034379260.1;Arvicanthis niloticus;TRIM30;TRIM30;117723807;NC_047658.1;tripartite motif-containing protein 30A-like [Arvicanthis niloticus];LOC117723807 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_034523369.1;INCLUDED
XP_034378292.1;Arvicanthis niloticus;TRIM30;TRIM30;117723022;NC_047658.1;tripartite motif-containing protein 30A-like isoform X3 [Arvicanthis niloticus];LOC117723022 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_034374166.1;Arvicanthis niloticus;TRIM30;TRIM30;117719872;NC_047658.1;tripartite motif-containing protein 30A-like isoform X2 [Arvicanthis niloticus];LOC117719872 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_034378283.1;Arvicanthis niloticus;TRIM30;TRIM30;117723022;NC_047658.1;tripartite motif-containing protein 30A-like isoform X2 [Arvicanthis niloticus];LOC117723022 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_034362118.1;Arvicanthis niloticus;TRIM34;TRIM34;117710905;NC_047658.1;tripartite motif-containing protein 34A isoform X2 [Arvicanthis niloticus];LOC117710905 tripartite motif-containing protein 34A;REMOVED|Other transcript was selected;TRIM34;;REMOVED|Other transcript was selected
XP_034362093.1;Arvicanthis niloticus;TRIM34;TRIM34;117710905;NC_047658.1;tripartite motif-containing protein 34A isoform X1 [Arvicanthis niloticus];LOC117710905 tripartite motif-containing protein 34A;INCLUDED;TRIM34;XM_034506202.1;INCLUDED
XP_034362060.1;Arvicanthis niloticus;TRIM5;TRIM5;117710884;NC_047658.1;tripartite motif-containing protein 5 isoform X1 [Arvicanthis niloticus];TRIM5 tripartite motif containing 5;INCLUDED;TRIM5;XM_034506169.1;INCLUDED
XP_034362068.1;Arvicanthis niloticus;TRIM5;TRIM5;117710884;NC_047658.1;tripartite motif-containing protein 5 isoform X2 [Arvicanthis niloticus];TRIM5 tripartite motif containing 5;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_034362082.1;Arvicanthis niloticus;TRIM6;TRIM6;117710896;NC_047658.1;tripartite motif-containing protein 6 [Arvicanthis niloticus];TRIM6 tripartite motif containing 6;INCLUDED;TRIM6;XM_034506191.1;INCLUDED
XP_038179816.1;Arvicola amphibius;TRIM30;TRIM30;119810418;NC_052047.1;tripartite motif-containing protein 30A-like isoform X2 [Arvicola amphibius];LOC119810418 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_038179825.1;Arvicola amphibius;TRIM30;TRIM30;119810418;NC_052047.1;tripartite motif-containing protein 30A-like isoform X3 [Arvicola amphibius];LOC119810418 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_038179807.1;Arvicola amphibius;TRIM30;TRIM30;119810418;NC_052047.1;tripartite motif-containing protein 30A-like isoform X1 [Arvicola amphibius];LOC119810418 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_038323879.1;INCLUDED
XP_038202228.1;Arvicola amphibius;TRIM30;TRIM30;119825440;NC_052047.1;tripartite motif-containing protein 30A-like [Arvicola amphibius];LOC119825440 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_038346300.1;INCLUDED
XP_038196254.1;Arvicola amphibius;TRIM30;TRIM30;119821348;NC_052047.1;tripartite motif-containing protein 30A-like [Arvicola amphibius];LOC119821348 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_038340326.1;INCLUDED
XP_038196617.1;Arvicola amphibius;TRIM30;TRIM30;119821581;NC_052047.1;tripartite motif-containing protein 30A-like isoform X1 [Arvicola amphibius];LOC119821581 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_038340689.1;INCLUDED
XP_038196635.1;Arvicola amphibius;TRIM30;TRIM30;119821581;NC_052047.1;tripartite motif-containing protein 30A-like isoform X2 [Arvicola amphibius];LOC119821581 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_038206104.1;Arvicola amphibius;TRIM30;TRIM30;119828108;NC_052047.1;tripartite motif-containing protein 30A-like isoform X2 [Arvicola amphibius];LOC119828108 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_038206110.1;Arvicola amphibius;TRIM30;TRIM30;119828108;NC_052047.1;tripartite motif-containing protein 30A-like isoform X3 [Arvicola amphibius];LOC119828108 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_038194019.1;Arvicola amphibius;TRIM30;TRIM30;119819822;NC_052047.1;tripartite motif-containing protein 30A-like isoform X1 [Arvicola amphibius];LOC119819822 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_038338091.1;INCLUDED
XP_038206095.1;Arvicola amphibius;TRIM30;TRIM30;119828108;NC_052047.1;tripartite motif-containing protein 30A-like isoform X1 [Arvicola amphibius];LOC119828108 tripartite motif-containing protein 30A-like;INCLUDED;TRIM5;XM_038350167.1;INCLUDED
XP_038194020.1;Arvicola amphibius;TRIM30;TRIM30;119819822;NC_052047.1;tripartite motif-containing protein 30A-like isoform X2 [Arvicola amphibius];LOC119819822 tripartite motif-containing protein 30A-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_038181440.1;Arvicola amphibius;TRIM34;TRIM34;119811611;NC_052047.1;tripartite motif-containing protein 34A-like [Arvicola amphibius];LOC119811611 tripartite motif-containing protein 34A-like;INCLUDED;TRIM34;XM_038325512.2;INCLUDED
XP_038181425.1;Arvicola amphibius;TRIM6;TRIM6;119811588;NC_052047.1;tripartite motif-containing protein 6 isoform X1 [Arvicola amphibius];LOC119811588 tripartite motif-containing protein 6;INCLUDED;TRIM6;XM_038325497.1;INCLUDED
XP_038181434.1;Arvicola amphibius;TRIM6;TRIM6;119811588;NC_052047.1;tripartite motif-containing protein 6 isoform X2 [Arvicola amphibius];LOC119811588 tripartite motif-containing protein 6;REMOVED|Other transcript was selected;TRIM6;;REMOVED|Other transcript was selected
XP_007172927.1;Balaenoptera acutorostrata scammoni;TRIM6;TRIM6;103001450;NW_006725854.1;tripartite motif-containing protein 6 isoform X2 [Balaenoptera acutorostrata scammoni];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_007172928.1;Balaenoptera acutorostrata scammoni;TRIM6;TRIM6;103001450;NW_006725854.1;tripartite motif-containing protein 6 isoform X1 [Balaenoptera acutorostrata scammoni];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_036717522.1;Balaenoptera musculus;TRIM6;TRIM6;118899726;NC_045792.1;tripartite motif-containing protein 6 isoform X1 [Balaenoptera musculus];TRIM6 tripartite motif containing 6;REMOVED|Other transcript was selected;TRIM6;;REMOVED|Other transcript was selected
XP_036717523.1;Balaenoptera musculus;TRIM6;TRIM6;118899726;NC_045792.1;tripartite motif-containing protein 6 isoform X2 [Balaenoptera musculus];TRIM6 tripartite motif containing 6;INCLUDED;TRIM6;XM_036861628.1;INCLUDED
XP_010858720.1;Bison bison bison;TRIM34;TRIM34;105003320;NW_011487786.1;PREDICTED: tripartite motif-containing protein 34-like [Bison bison bison];LOC105003320 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010858744.1;Bison bison bison;TRIM5;TRIM5;105003330;NW_011487786.1;PREDICTED: tripartite motif-containing protein 5-like isoform X1 [Bison bison bison];LOC105003330 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010858754.1;Bison bison bison;TRIM5;TRIM5;105003330;NW_011487786.1;PREDICTED: tripartite motif-containing protein 5-like isoform X2 [Bison bison bison];LOC105003330 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010833060.1;Bison bison bison;TRIM5;TRIM5;104984830;NW_011494607.1;PREDICTED: LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like [Bison bison bison];LOC104984830 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010842950.1;Bison bison bison;TRIM5;TRIM5;104991954;NW_011478750.1;PREDICTED: LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like, partial [Bison bison bison];LOC104991954 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010842009.1;Bison bison bison;TRIM5;TRIM5;104991286;NW_011478255.1;PREDICTED: tripartite motif-containing protein 5-like, partial [Bison bison bison];LOC104991286 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010858833.1;Bison bison bison;TRIM5;TRIM5;105003391;NW_011487786.1;PREDICTED: LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like, partial [Bison bison bison];LOC105003391 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010838999.1;Bison bison bison;TRIM5;TRIM5;104989127;NW_011477337.1;PREDICTED: tripartite motif-containing protein 5-like [Bison bison bison];LOC104989127 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010858822.1;Bison bison bison;UNCHAR;UNCHAR;105003384;NW_011487786.1;PREDICTED: uncharacterized protein LOC105003384 [Bison bison bison];LOC105003384 uncharacterized LOC105003384;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019830867.1;Bos indicus;TRIM34;TRIM34;109569682;NC_032664.1;PREDICTED: tripartite motif-containing protein 34-like isoform X2 [Bos indicus];LOC109569682 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019830865.1;Bos indicus;TRIM34;TRIM34;109569682;NC_032664.1;PREDICTED: tripartite motif-containing protein 34-like isoform X1 [Bos indicus];LOC109569682 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019830864.1;Bos indicus;TRIM5;TRIM5;109569681;NC_032664.1;PREDICTED: tripartite motif-containing protein 5-like [Bos indicus];LOC109569681 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019822540.1;Bos indicus;TRIM5;TRIM5;109563642;NC_032658.1;PREDICTED: tripartite motif-containing protein 5-like [Bos indicus];LOC109563642 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019831110.1;Bos indicus;TRIM5;TRIM5;109569825;NC_032664.1;PREDICTED: tripartite motif-containing protein 5-like [Bos indicus];LOC109569825 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019830862.1;Bos indicus;TRIM5;TRIM5;109569680;NC_032664.1;PREDICTED: tripartite motif-containing protein 5-like [Bos indicus];LOC109569680 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019830869.1;Bos indicus;TRIM6;TRIM6;109569683;NC_032664.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Bos indicus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_019830868.1;Bos indicus;TRIM6;TRIM6;109569683;NC_032664.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Bos indicus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418912.1;Bos indicus x Bos taurus;TRIM34;TRIM34;113905592;NC_040090.1;tripartite motif-containing protein 34-like isoform X3 [Bos indicus x Bos taurus];LOC113905592 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418911.1;Bos indicus x Bos taurus;TRIM34;TRIM34;113905592;NC_040090.1;tripartite motif-containing protein 34-like isoform X2 [Bos indicus x Bos taurus];LOC113905592 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418908.1;Bos indicus x Bos taurus;TRIM34;TRIM34;113905592;NC_040090.1;tripartite motif-containing protein 34-like isoform X1 [Bos indicus x Bos taurus];LOC113905592 tripartite motif-containing protein 34-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418919.1;Bos indicus x Bos taurus;TRIM5;TRIM5;113905598;NC_040090.1;tripartite motif-containing protein 5-like isoform X3 [Bos indicus x Bos taurus];LOC113905598 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418917.1;Bos indicus x Bos taurus;TRIM5;TRIM5;113905598;NC_040090.1;tripartite motif-containing protein 5-like isoform X1 [Bos indicus x Bos taurus];LOC113905598 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418904.1;Bos indicus x Bos taurus;TRIM5;TRIM5;113905590;NC_040090.1;tripartite motif-containing protein 5-like isoform X1 [Bos indicus x Bos taurus];LOC113905590 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418906.1;Bos indicus x Bos taurus;TRIM5;TRIM5;113905590;NC_040090.1;tripartite motif-containing protein 5-like isoform X2 [Bos indicus x Bos taurus];LOC113905590 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418918.1;Bos indicus x Bos taurus;TRIM6;TRIM5;113905598;NC_040090.1;tripartite motif-containing protein 6-like isoform X2 [Bos indicus x Bos taurus];LOC113905598 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418901.1;Bos indicus x Bos taurus;TRIM6;TRIM6;113905589;NC_040090.1;tripartite motif-containing protein 6 isoform X2 [Bos indicus x Bos taurus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418899.1;Bos indicus x Bos taurus;TRIM6;TRIM6;113905589;NC_040090.1;tripartite motif-containing protein 6 isoform X1 [Bos indicus x Bos taurus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_027418903.1;Bos indicus x Bos taurus;TRIM6;TRIM6;113905589;NC_040090.1;tripartite motif-containing protein 6 isoform X3 [Bos indicus x Bos taurus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_005906941.1;Bos mutus;TRIM34;TRIM34;102273271;NW_005395372.1;PREDICTED: tripartite motif-containing protein 34 [Bos mutus];LOC102273271 tripartite motif-containing protein 34;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014333864.1;Bos mutus;TRIM5;TRIM5;102281146;NW_005393746.1;PREDICTED: tripartite motif-containing protein 5-like [Bos mutus];LOC102281146 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_005910331.1;Bos mutus;TRIM5;TRIM5;102281509;NW_005396549.1;PREDICTED: tripartite motif-containing protein 5-like, partial [Bos mutus];LOC102281509 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014334023.1;Bos mutus;TRIM5;TRIM5;102283392;NW_005393791.1;PREDICTED: tripartite motif-containing protein 5-like [Bos mutus];LOC102283392 tripartite motif-containing protein 5-like;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_005906940.1;Bos mutus;TRIM6;TRIM6;102272794;NW_005395372.1;PREDICTED: tripartite motif-containing protein 6 isoform X2 [Bos mutus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_005906939.1;Bos mutus;TRIM6;TRIM6;102272794;NW_005395372.1;PREDICTED: tripartite motif-containing protein 6 isoform X1 [Bos mutus];TRIM6 tripartite motif containing 6;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_014332576.1;Bos mutus;UNCHAR;UNCHAR;102267576;NW_005393350.1;PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC102267576 [Bos mutus];LOC102267576 uncharacterized LOC102267576;REMOVED|Excluded species;;;REMOVED|Excluded species
XP_010810914.2;Bos taurus;TRIM34;TRIM34;539820;NC_037342.1;tripartite motif-containing protein 34 isoform X2 [Bos taurus];TRIM34 tripartite motif containing 34;REMOVED|Other transcript was selected;TRIM34;;REMOVED|Other transcript was selected
XP_024831223.1;Bos taurus;TRIM34;TRIM34;539820;NC_037342.1;tripartite motif-containing protein 34 isoform X3 [Bos taurus];TRIM34 tripartite motif containing 34;REMOVED|Other transcript was selected;TRIM34;;REMOVED|Other transcript was selected
NP_001039926.1;Bos taurus;TRIM34;TRIM34;539820;NC_037342.1;tripartite motif-containing protein 34 [Bos taurus];TRIM34 tripartite motif containing 34;INCLUDED;TRIM34;NM_001046461.2;INCLUDED
XP_024852741.1;Bos taurus;TRIM5;TRIM5;782527;NC_037336.1;tripartite motif-containing protein 5-like [Bos taurus];LOC782527 tripartite motif-containing protein 5-like;INCLUDED;TRIM5;XM_024996973.1;INCLUDED
NP_001029970.1;Bos taurus;TRIM5;TRIM5;616948;NC_037342.1;tripartite motif-containing protein 5 [Bos taurus];LOC616948 tripartite motif-containing protein 5-like;INCLUDED;TRIM5;NM_001034798.1;INCLUDED
XP_024831311.1;Bos taurus;TRIM5;TRIM5;616948;NC_037342.1;tripartite motif-containing protein 5 isoform X1 [Bos taurus];LOC616948 tripartite motif-containing protein 5-like;REMOVED|Other transcript was selected;TRIM5;;REMOVED|Other transcript was selected
XP_002693251.1;Bos taurus;TRIM5;TRIM5;516599;NC_037342.1;tripartite motif-containing protein 5 [Bos taurus];LOC516599 tripartite motif-containing protein 5;INCLUDED;TRIM5;XM_002693205.5;INCLUDED
NP_001192234.1;Bos taurus;TRIM5;TRIM5;505265;NC_037342.1;tripartite motif-containing protein 5 [Bos taurus];TRIM5 tripartite motif containing 5;INCLUDED;TRIM5;NM_001205305.1;INCLUDED
XP_015330212.2;Bos taurus;TRIM5;TRIM5;786870;NC_037342.1;LOW QUALITY PROTEIN: tripartite motif-containing protein 5-like [Bos taurus];LOC786870 tripartite motif-containing protein 5-like;INCLUDED;TRIM5;XM_015474726.2;INCLUDED
NP_001192118.1;Bos taurus;TRIM6;TRIM6;514492;NC_037342.1;tripartite motif-containing protein 6 [Bos taurus];TRIM6 tripartite motif containing 6;INCLUDED;TRIM6;NM_001205189.1;INCLUDED
XP_005216193.3;Bos taurus;TRIM6;TRIM6;514492;NC_037342.1;tripartite motif-containing protein 6 isoform X1 [Bos taurus];TRIM6 tripartite motif containing 6;REMOVED|Other transcript was selected;TRIM6;;REMOVED|Other transcript was selected
